Year,Series,Variable Name,Unit,Value
2019,(a) Food Loss Index,,Tonnes,46640843.73 
2019,(a) Food Loss Index,Households,Tonnes,37941470.49 
2019,(a) Food Loss Index,Out-of-home Consumption,Tonnes,5556256.60 
2019,(a) Food Loss Index,Retail,Tonnes,3143116.64 
2022,(a) Food Loss Index,,Tonnes,46640843.73 
2022,(a) Food Loss Index,Households,Tonnes,37941470.49 
2022,(a) Food Loss Index,Out-of-home Consumption,Tonnes,5556256.60 
2022,(a) Food Loss Index,Retail,Tonnes,3143116.64 
2019,(b) Food Waste Per Capita,,Kilogram (KG),229.41
2019,(b) Food Waste Per Capita,Households,Kilogram (KG),186.62
2019,(b) Food Waste Per Capita,Out-of-home Consumption,Kilogram (KG),27.33
2019,(b) Food Waste Per Capita,Retail,Kilogram (KG),15.46
2022,(b) Food Waste Per Capita,,Kilogram (KG),154.26
2022,(b) Food Waste Per Capita,Households,Kilogram (KG),113.44
2022,(b) Food Waste Per Capita,Out-of-home Consumption,Kilogram (KG),31.14
2022,(b) Food Waste Per Capita,Retail,Kilogram (KG),9.68
